"sector27","year","hours","informal_emp_per","edu_yrs","LSH_VA","VA_per_worker","raw_APG","hours_adj","LSH_adj","Hcap_adj","correct_APG"
"construction",2006,1445.27117217692,81.2928968157087,4.335837159838,0.711095473894244,169072.996550094,3.39014257145678,1.22150030494762,0.77404296705672,1.05990425630855,3.38292740144119
"construction",2007,1402.5474521366,80.7597797938756,4.39983361107963,0.712735753042207,172467.920778397,3.2107539145212,1.18986583655899,0.772609474478773,1.05470947249345,3.31143434954666
"construction",2008,1359.82373209627,80.2266627720424,4.46383006232125,0.786021741857891,165976.329043156,3.03528508761662,1.15799164983525,0.698400110982215,1.04954014926001,3.57594395816964
"construction",2009,1317.10001205595,79.6935457502093,4.52782651356288,0.779983075113398,161318.070722869,2.91760488922358,1.12587500962208,0.702430252084238,1.04439616182131,3.53238331002961
"construction",2010,1274.37629201562,79.1604287283761,4.59182296480451,0.739010273805418,155491.86739323,2.53490615587388,1.09351313899594,0.744219666906093,1.03927738600198,2.9971277889513
"construction",2011,1231.6525719753,78.627311706543,4.65581941604614,0.773825200977989,159556.037445911,2.39826215251548,1.06090321846372,0.712114326937153,1.0341836982353,3.06954126238753
"construction",2012,1231.6525719753,78.7056459699359,4.82984386171613,0.781784143504576,154681.601787447,2.24461600248936,1.06090321846372,0.700404548715283,1.0368291226931,2.91346726413164
"construction",2013,1231.6525719753,78.7839802333287,5.00386830738612,0.785551024144779,156554.452067489,2.10806292790966,1.06090321846372,0.697510104633435,1.03948131410204,2.74056819722965
"construction",2014,1231.6525719753,78.8623144967216,5.17789275305611,0.782805494687409,160806.392616672,2.12652595780473,1.06090321846372,0.70570431345316,1.04214028977188,2.72549859928366
"construction",2015,1231.6525719753,78.9406487601144,5.35191719872611,0.770883540501538,163892.600114592,2.11092223752924,1.06090321846372,0.72122149902992,1.04480606705663,2.64053615298829
"construction",2016,1231.6525719753,79.0189830235073,5.5259416443961,0.769271751718738,170580.817753751,2.01737764541126,1.06090321846372,0.721946414744462,1.04747866335472,2.51455586029393
"construction",2017,1231.6525719753,79.0973172869001,5.69996609006609,0.761511587444053,176234.877993652,1.91786959041299,1.06090321846372,0.738240166007758,1.05015809610906,2.33179813578947
"construction",2018,1231.6525719753,79.175651550293,5.87399053573608,0.755539026467983,175921.672338496,1.89877202438596,1.06090321846372,0.744044949410083,1.0528443828072,2.28472376983287
"construction",2019,1231.6525719753,80.0078926086426,5.93121564388275,0.763738658307194,167738.715254094,1.93361170807879,1.06090321846372,0.734273538253798,1.05557573984936,2.35150671044893
"construction",2020,1231.6525719753,80.8401336669922,5.98844075202942,0.761485398812929,148543.936927171,1.77854646691344,1.06090321846372,0.73434941812613,1.05831418275474,2.15710893591856
